Molecule ChEMBL ID,Canonical_smiles,Papp_(ucm/s),MW,TPSA,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,NumRadicalElectrons,NumValenceElectrons,FilterItLogS
CHEMBL3261277,COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(NS(C)(=O)=O)n2)c(OC)c1,3.15,472.5410000000002,130.12,2.0732,1.0,9.0,10.0,0.9032258064516128,1.4838709677419355,1.967741935483871,0.0,170.0,-5.083784069
CHEMBL266125,Cc1ccc2cc(C(=O)NC3(C(=O)N[C@H](Cc4ccccc4)C(=O)NCC4CCN(CC5CCOCC5)CC4)CCCC3)sc2c1,5.1,644.8820000000001,99.77,5.234620000000005,3.0,6.0,11.0,0.9565217391304348,1.6956521739130437,2.4347826086956523,0.0,246.0,-8.552838501
CHEMBL2311578,Cc1cc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)ccc1-c1ccc(S(C)(=O)=O)cc1,21.6,520.6800000000002,86.97,5.654920000000006,0.0,8.0,8.0,1.0555555555555556,1.8333333333333333,2.5,0.0,186.0,-7.461911308
CHEMBL1800776,CC(C)(N)C(=O)N1CCn2c(nc(-c3ccc(F)cc3)c2Nc2ccc(Cl)c(F)c2)C1,0.84,445.90100000000007,76.18,4.304800000000002,2.0,5.0,4.0,1.1612903225806452,1.870967741935484,2.5161290322580645,0.0,162.0,-6.069486204
CHEMBL1928262,CCOc1ncc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc2c(CC)n(CCOC)nc2c(=O)[nH]1,16.0,519.6280000000004,135.54,1.1153000000000004,1.0,10.0,10.0,1.1111111111111112,1.8611111111111112,2.5,0.0,196.0,-5.650279883
CHEMBL246945,CCN(C)Cc1ccccc1N1CCC(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)CC1,2.7,541.5780000000001,105.45,4.4650000000000025,2.0,8.0,7.0,1.1794871794871795,1.9230769230769231,2.641025641025641,0.0,206.0,-6.465305893
CHEMBL2058891,Br.N=C(N)SCc1c(Cl)ccc2c1oc1c(CSC(=N)N)c(Cl)ccc12,0.1,494.2670000000002,112.88,5.724040000000002,4.0,5.0,4.0,0.8461538461538461,1.2307692307692308,1.5769230769230769,0.0,138.0,-6.77581815
CHEMBL260672,O=C(O)CN1C(=O)[C@@]2(CC(=O)N(Cc3cc(Cl)ccc3F)C2=O)c2cc(Cl)ccc21,26.4,451.23700000000014,94.99,2.760600000000001,1.0,4.0,4.0,1.0333333333333334,1.6666666666666667,2.3666666666666667,0.0,154.0,-5.283958213
CHEMBL227000,CC1(C)C2=C3CC4C5=[N+](CCC4OC3CCN2c2ccc(CC(=O)NCCCCCCN(CCOc3ccc(NS(C)(=O)=O)cc3)CCc3ccc(NS(C)(=O)=O)cc3)cc21)c1ccc(S(=O)(=O)[O-])cc1C5(C)C,4.8,1071.398,206.59,7.1857000000000095,3.0,12.0,21.0,0.7837837837837838,1.4594594594594594,2.1486486486486487,0.0,398.0,-14.50007353
CHEMBL2402151,CC(C)CCOC(=O)c1cnc(N2CCN(C(=O)NS(=O)(=O)c3ccc(Cl)s3)CC2)c(Cl)c1,0.44,535.4750000000003,108.91,3.873300000000003,1.0,8.0,7.0,1.2121212121212122,1.9090909090909087,2.484848484848485,0.0,180.0,-5.247411103
CHEMBL1950329,CCOc1ccc(Cc2nc3cc(N(C)S(=O)(=O)c4cccs4)ccc3n2CC2CCCCC2)nc1,0.6,524.7120000000003,77.32000000000001,5.887700000000006,0.0,7.0,9.0,1.1388888888888888,1.9722222222222223,2.6666666666666665,0.0,190.0,-6.874554622
CHEMBL1240967,CC(C)(Cc1cccc(CC(=O)NCc2cccc(-c3ccc(O)cc3)c2)c1)NC[C@H](O)c1ccc(O)c(NS(C)(=O)=O)c1,13.0,617.7680000000003,147.99,4.639500000000004,6.0,7.0,13.0,0.8409090909090909,1.5227272727272727,2.25,0.0,232.0,-8.53397864
CHEMBL1800768,CC(C)(N)C(=O)N1CCn2c(nc(-c3cccc(F)c3)c2Nc2ccc(F)cc2)C1,2.6,411.4560000000001,76.18,3.6514000000000015,2.0,5.0,4.0,1.1,1.8333333333333333,2.5,0.0,156.0,-5.334657178
CHEMBL2059114,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)C(=O)c1ccc2nc(N)sc2c1,1.2,553.7100000000003,130.67,4.331800000000003,3.0,9.0,11.0,1.1578947368421053,1.947368421052632,2.6578947368421053,0.0,200.0,-5.776253882
CHEMBL467588,CC(C)[C@H](NC(=O)CCN(C)C)c1cc(Cl)ccc1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2)CC1,9.0,547.5710000000001,55.89000000000001,5.285800000000005,1.0,4.0,10.0,0.945945945945946,1.5675675675675675,2.1621621621621623,0.0,202.0,-7.215420371
CHEMBL3298821,O=C(CC1CNC(=O)c2cc(-c3ccc(F)c(F)c3)cn21)NCC1CCCCC1,11.8,401.4570000000002,63.13,3.804400000000003,2.0,3.0,5.0,1.103448275862069,1.896551724137931,2.655172413793104,0.0,154.0,-5.808283475
CHEMBL2380443,COc1cccc(-c2cccc(C3(C)N=C(N)CCO3)c2)c1,13.0,296.36999999999995,56.84,3.312400000000001,1.0,4.0,3.0,1.1363636363636365,1.8636363636363635,2.590909090909091,0.0,114.0,-4.721734835
CHEMBL1950894,CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(OC)cc4)ncc3c2)ccn1,1.0,401.4260000000001,98.26,3.9289000000000014,2.0,7.0,6.0,0.9333333333333332,1.7,2.466666666666667,0.0,150.0,-6.55332326
CHEMBL1079753,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)C3C4CCC(C4)C3N(Cc3ccc(F)cc3)C1=O)N2,2.1,560.6290000000004,145.24,2.9791000000000007,3.0,7.0,5.0,1.1578947368421053,1.868421052631579,2.5789473684210527,0.0,200.0,-5.401860909
CHEMBL2171902,C=C1c2ccccc2C(=O)N(C)c2ccc(O)cc21,20.0,251.285,40.540000000000006,3.043700000000001,1.0,2.0,0.0,1.0526315789473684,1.736842105263158,2.473684210526316,0.0,94.0,-3.834670923
CHEMBL246853,C[C@@H]1O[C@@H](c2ccc(Cl)cc2)OC[C@H]1NC(=O)Cc1ccccc1,10.22,345.8260000000001,47.56,3.501400000000002,1.0,3.0,4.0,1.1666666666666667,1.875,2.5416666666666665,0.0,126.0,-4.822130457
CHEMBL496391,CC(C)[C@@H](C(=O)N[C@@H](Cc1ccc(O)c(C(C)(C)C)c1)C(N)=O)N(C)C(=O)[C@@H](N)Cc1ccccc1,0.0,496.6520000000002,138.75,2.255300000000002,4.0,5.0,10.0,1.0,1.6111111111111112,2.138888888888889,0.0,196.0,-4.846073245
CHEMBL1689748,N#Cc1ccc(Cn2cncc2CN2CCN(C(=O)C34CC5CC(CC(C5)C3)C4)CCC2c2ccccc2)cc1,3.6,533.7200000000004,65.16,5.795080000000007,0.0,5.0,6.0,0.9,1.6,2.275,0.0,206.0,-6.301485868
CHEMBL502455,Cc1nc(C(=O)N2c3cccc(O)c3NC3=C(C(=O)CC(C)(C)C3)[C@@H]2c2ccc(OCc3ccccc3)cc2F)c(C)o1,10.9,581.6440000000003,104.9,7.171940000000006,2.0,7.0,5.0,1.1162790697674418,1.8837209302325584,2.581395348837209,0.0,220.0,-9.138392495
CHEMBL256805,COC(=O)N1C[C@@H](NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)[C@@H](C(=O)NO)C1,0.4,478.50500000000017,130.09,2.42422,3.0,7.0,6.0,1.1142857142857143,1.8571428571428568,2.571428571428572,0.0,182.0,-4.720333568
CHEMBL3297765,CN1CCN(C[C@@H](NC(=O)C[C@H]2CNC(=O)c3cc(-c4ccnc(F)c4)cn32)C2CCCCC2)CC1,0.33,496.6310000000004,82.5,2.6763000000000003,2.0,6.0,7.0,1.1666666666666667,1.9444444444444444,2.6944444444444446,0.0,194.0,-5.278944391
CHEMBL3290337,N#Cc1ccc2ccc(=O)n(CCN3CCC(NCc4ccc5c(n4)NC(=O)CO5)CC3)c2c1,2.0,458.5220000000003,112.28000000000002,1.8532799999999992,2.0,8.0,6.0,1.1176470588235294,1.9411764705882355,2.764705882352941,0.0,174.0,-5.812357119
CHEMBL1911341,Cc1ccc2c(N)noc2c1-c1ccc2c(c1)NC(=O)C21CCOCC1,28.0,349.39000000000027,90.38,3.385720000000001,2.0,5.0,1.0,1.1923076923076923,2.0,2.8076923076923075,0.0,132.0,-5.993621084
CHEMBL1435542,Cc1nc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)cs1,12.7,376.4410000000001,69.16000000000001,4.402520000000003,1.0,7.0,4.0,1.037037037037037,1.8888888888888888,2.7777777777777777,0.0,134.0,-6.586182455
CHEMBL237226,CNCc1ccccc1-c1ccc(N2CCc3c(C(N)=O)nn(-c4ccc(OC)cc4)c3C2=O)cc1,1.7,481.55600000000015,102.48000000000002,3.569100000000001,2.0,6.0,7.0,1.0277777777777777,1.7222222222222223,2.388888888888889,0.0,182.0,-6.603403203
CHEMBL240780,CNCCC(=O)N[C@H](c1cc(C)ccc1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2)CC1)C(C)C,12.0,513.1260000000003,64.68,4.598620000000004,2.0,4.0,10.0,1.0,1.6666666666666667,2.2777777777777777,0.0,196.0,-7.356005396
CHEMBL582828,COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N3CCCN=C32)cc1,0.6,398.47000000000025,88.99,2.8283000000000005,1.0,7.0,4.0,1.0,1.8,2.566666666666667,0.0,150.0,-5.765350058
CHEMBL224670,COCC[C@H](CC1(C(=O)NCCCc2ccc(F)cc2)CCCC1)C(=O)O,12.0,379.47200000000015,75.63,3.5623000000000022,2.0,3.0,11.0,1.2592592592592593,1.9259259259259256,2.5185185185185186,0.0,150.0,-5.365695458
